GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-08,LAC,LA Clippers,Ivica Zubac,21.0,15.0,4.0,0.0,10,12,83.3,0,0,0.0,1,2,50.0,83.3,81.5,35,0,0,1,1,1,0,0,21.0,21.0,0.0,0.0
2025-11-08,TOR,Toronto Raptors,Ja'Kobe Walter,3.0,0.0,0.0,0.0,1,6,16.7,1,3,33.3,0,0,0.0,25.0,25.0,11,0,0,0,0,0,0,0,3.0,3.0,33.3,33.3
2025-11-08,PHI,Philadelphia 76ers,Jabari Walker,0.0,2.0,1.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,ATL,Atlanta Hawks,Jacob Toppin,4.0,1.0,0.0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,100.0,100.0,3,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-08,DAL,Dallas Mavericks,Jaden Hardy,8.0,1.0,0.0,0.0,3,5,60.0,1,1,100.0,1,2,50.0,70.0,68.0,14,0,0,0,0,0,0,0,8.0,8.0,100.0,100.0
2025-11-08,MIA,Miami Heat,Jaime Jaquez Jr.,14.0,12.0,7.0,1.0,6,15,40.0,0,2,0.0,2,3,66.7,40.0,42.9,29,0,0,0,0,0,0,0,14.0,14.0,0.0,0.0
2025-11-08,LAL,Los Angeles Lakers,Jake LaRavia,13.0,5.0,2.0,2.0,4,7,57.1,1,2,50.0,4,5,80.0,64.3,70.7,23,0,0,1,1,0,0,0,13.0,13.0,50.0,50.0
2025-11-08,PHX,Phoenix Suns,Jalen Green,2.0,1.0,1.0,0.0,1,3,33.3,0,1,0.0,0,0,0.0,33.3,33.3,7,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-08,DEN,Denver Nuggets,Jalen Pickett,2.0,1.0,0.0,0.0,1,4,25.0,0,1,0.0,0,0,0.0,25.0,25.0,18,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-08,CHI,Chicago Bulls,Jalen Smith,18.0,11.0,4.0,0.0,6,6,100.0,4,4,100.0,2,2,100.0,133.3,130.8,19,0,1,1,1,0,0,0,18.0,18.0,100.0,100.0
2025-11-08,TOR,Toronto Raptors,Jamal Shead,9.0,3.0,5.0,1.0,3,7,42.9,3,5,60.0,0,0,0.0,64.3,64.3,24,0,0,1,0,1,0,0,9.0,9.0,60.0,60.0
2025-11-08,LAC,LA Clippers,James Harden,13.0,0.0,13.0,0.0,4,15,26.7,2,10,20.0,3,4,75.0,33.3,38.8,41,0,0,0,0,1,0,0,13.0,13.0,20.0,20.0
2025-11-08,WSH,Washington Wizards,Jamir Watkins,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,TOR,Toronto Raptors,Jamison Battle,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,IND,Indiana Pacers,Jarace Walker,8.0,5.0,2.0,0.0,3,7,42.9,1,4,25.0,1,2,50.0,50.0,50.8,22,0,0,0,0,0,0,0,8.0,8.0,25.0,25.0
2025-11-08,LAL,Los Angeles Lakers,Jarred Vanderbilt,12.0,18.0,2.0,1.0,4,9,44.4,1,2,50.0,3,3,100.0,50.0,58.1,28,0,0,1,1,0,0,0,12.0,12.0,50.0,50.0
2025-11-08,CLE,Cleveland Cavaliers,Jarrett Allen,11.0,3.0,2.0,1.0,4,8,50.0,0,0,0.0,3,6,50.0,50.0,51.7,25,0,0,0,0,1,0,0,11.0,11.0,0.0,0.0
2025-11-08,LAL,Los Angeles Lakers,Jaxson Hayes,4.0,3.0,0.0,0.0,2,4,50.0,0,0,0.0,0,0,0.0,50.0,50.0,17,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-08,IND,Indiana Pacers,Jay Huff,4.0,6.0,1.0,0.0,1,5,20.0,0,3,0.0,2,2,100.0,20.0,34.0,15,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-08,CLE,Cleveland Cavaliers,Jaylon Tyson,17.0,7.0,3.0,2.0,6,10,60.0,3,4,75.0,2,2,100.0,75.0,78.1,31,0,0,1,1,0,0,0,17.0,17.0,75.0,75.0
2025-11-08,POR,Portland Trail Blazers,Jerami Grant,18.0,3.0,4.0,1.0,5,9,55.6,1,3,33.3,7,8,87.5,61.1,71.9,22,0,0,0,0,1,0,0,18.0,18.0,33.3,33.3
2025-11-08,NO,New Orleans Pelicans,Jeremiah Fears,18.0,3.0,3.0,2.0,8,17,47.1,0,3,0.0,2,3,66.7,47.1,49.1,31,0,0,1,0,0,0,0,18.0,18.0,0.0,0.0
2025-11-08,IND,Indiana Pacers,Jeremiah Robinson-Earl,7.0,5.0,1.0,1.0,3,8,37.5,1,2,50.0,0,0,0.0,43.8,43.8,19,0,0,0,0,0,0,0,7.0,7.0,50.0,50.0
2025-11-08,SA,San Antonio Spurs,Jeremy Sochan,10.0,3.0,3.0,1.0,5,6,83.3,0,0,0.0,0,0,0.0,83.3,83.3,20,0,0,1,0,0,0,0,10.0,10.0,0.0,0.0
2025-11-08,PHI,Philadelphia 76ers,Joel Embiid,29.0,6.0,4.0,0.0,10,16,62.5,1,4,25.0,8,9,88.9,65.6,72.6,26,0,0,1,0,1,0,0,29.0,29.0,25.0,25.0
2025-11-08,LAC,LA Clippers,John Collins,19.0,4.0,2.0,1.0,8,12,66.7,2,3,66.7,1,1,100.0,75.0,76.4,28,0,0,1,0,1,0,0,19.0,19.0,66.7,66.7
2025-11-08,DEN,Denver Nuggets,Jonas Valanciunas,6.0,5.0,3.0,0.0,3,6,50.0,0,0,0.0,0,0,0.0,50.0,50.0,14,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0
2025-11-08,PHX,Phoenix Suns,Jordan Goodwin,7.0,1.0,2.0,1.0,2,5,40.0,2,5,40.0,1,2,50.0,60.0,59.5,14,0,0,0,0,0,0,0,7.0,7.0,40.0,40.0
2025-11-08,NO,New Orleans Pelicans,Jordan Hawkins,5.0,0.0,0.0,0.0,2,6,33.3,1,3,33.3,0,0,0.0,41.7,41.7,18,0,0,0,0,0,0,0,5.0,5.0,33.3,33.3
2025-11-08,NO,New Orleans Pelicans,Jose Alvarado,8.0,2.0,5.0,0.0,2,3,66.7,2,2,100.0,2,2,100.0,100.0,103.1,17,0,0,0,0,1,0,0,8.0,8.0,100.0,100.0
2025-11-08,CHI,Chicago Bulls,Josh Giddey,15.0,9.0,6.0,2.0,5,18,27.8,0,3,0.0,5,5,100.0,27.8,37.1,33,0,0,0,0,0,0,1,15.0,15.0,0.0,0.0
2025-11-08,POR,Portland Trail Blazers,Jrue Holiday,18.0,9.0,13.0,4.0,6,19,31.6,3,10,30.0,3,4,75.0,39.5,43.4,35,0,0,1,1,1,0,1,18.0,18.0,30.0,30.0
2025-11-08,SA,San Antonio Spurs,Julian Champagnie,14.0,1.0,2.0,0.0,4,7,57.1,2,4,50.0,4,5,80.0,71.4,76.1,26,0,0,1,0,0,0,0,14.0,14.0,50.0,50.0
2025-11-08,CHI,Chicago Bulls,Julian Phillips,0.0,3.0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,DEN,Denver Nuggets,Julian Strawther,12.0,6.0,2.0,0.0,5,10,50.0,0,3,0.0,2,3,66.7,50.0,53.0,22,0,0,0,0,0,0,0,12.0,12.0,0.0,0.0
2025-11-08,WSH,Washington Wizards,Justin Champagnie,0.0,5.0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,PHI,Philadelphia 76ers,Justin Edwards,3.0,2.0,1.0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,75.0,75.0,7,0,0,0,0,0,0,0,3.0,3.0,50.0,50.0
2025-11-08,NO,New Orleans Pelicans,Karlo Matkovic,4.0,5.0,0.0,0.0,2,3,66.7,0,0,0.0,0,0,0.0,66.7,66.7,9,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-08,ATL,Atlanta Hawks,Keaton Wallace,14.0,2.0,7.0,1.0,5,15,33.3,4,8,50.0,0,0,0.0,46.7,46.7,36,0,1,0,0,0,0,0,14.0,14.0,50.0,50.0
2025-11-08,MIA,Miami Heat,Kel'el Ware,9.0,12.0,1.0,1.0,4,8,50.0,0,2,0.0,1,3,33.3,50.0,48.3,23,0,0,0,1,0,0,0,9.0,9.0,0.0,0.0
2025-11-08,SA,San Antonio Spurs,Keldon Johnson,12.0,8.0,4.0,2.0,4,7,57.1,0,1,0.0,4,4,100.0,57.1,68.5,20,0,0,1,1,0,0,0,12.0,12.0,0.0,0.0
2025-11-08,PHI,Philadelphia 76ers,Kelly Oubre Jr.,19.0,4.0,1.0,0.0,8,15,53.3,1,6,16.7,2,3,66.7,56.7,58.2,37,0,0,0,0,0,0,0,19.0,19.0,16.7,16.7
2025-11-08,CHI,Chicago Bulls,Kevin Huerter,15.0,3.0,3.0,3.0,6,10,60.0,2,4,50.0,1,2,50.0,70.0,68.9,29,0,0,1,0,1,0,0,15.0,15.0,50.0,50.0
