GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,STL,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL
2025-10-28,LAC,LA Clippers,Kris Dunn,5.0,4.0,0.0,2,6,33.3,1,2,50.0,0,0,0.0,41.7,41.7,26,0,0,41.7,41.7,41.7,41.7,5.0,5.0,50.0,50.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Kyle Kuzma,5.0,5.0,1.0,0,2,0.0,0,1,0.0,5,6,83.3,0.0,53.9,20,0,0,0.0,0.0,53.9,53.9,5.0,5.0,0.0,0.0,,,,,,
2025-10-28,WSH,Washington Wizards,Kyshawn George,20.0,9.0,7.0,8,17,47.1,4,7,57.1,0,2,0.0,58.8,55.9,40,0,1,58.8,58.8,55.9,55.9,20.0,20.0,57.1,57.1,,,,,,
2025-10-28,CHA,Charlotte Hornets,LaMelo Ball,20.0,8.0,9.0,6,18,33.3,4,12,33.3,4,5,80.0,44.4,49.5,28,0,1,44.4,44.4,49.5,49.5,20.0,20.0,33.3,33.3,,,,,,
2025-10-28,NY,New York Knicks,Landry Shamet,16.0,3.0,1.0,5,11,45.5,4,9,44.4,2,2,100.0,63.6,67.3,30,0,1,63.6,63.6,67.3,67.3,16.0,16.0,44.4,44.4,,,,,,
2025-10-28,CHA,Charlotte Hornets,Liam McNeeley,6.0,1.0,0.0,1,1,100.0,1,1,100.0,3,4,75.0,150.0,108.7,11,0,0,150.0,150.0,108.7,108.7,6.0,6.0,100.0,100.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Luguentz Dort,13.0,5.0,1.0,4,9,44.4,1,6,16.7,4,4,100.0,50.0,60.4,35,0,0,50.0,50.0,60.4,60.4,13.0,13.0,16.7,16.7,,,,,,
2025-10-28,SAC,Sacramento Kings,Malik Monk,9.0,2.0,4.0,3,7,42.9,0,3,0.0,3,4,75.0,42.9,51.4,26,0,0,42.9,42.9,51.4,51.4,9.0,9.0,0.0,0.0,,,,,,
2025-10-28,WSH,Washington Wizards,Marvin Bagley III,14.0,7.0,3.0,6,7,85.7,0,0,0.0,2,4,50.0,85.7,79.9,19,0,0,85.7,85.7,79.9,79.9,14.0,14.0,0.0,0.0,,,,,,
2025-10-28,NY,New York Knicks,Mikal Bridges,24.0,11.0,6.0,8,16,50.0,3,7,42.9,5,5,100.0,59.4,65.9,39,0,0,59.4,59.4,65.9,65.9,24.0,24.0,42.9,42.9,,,,,,
2025-10-28,CHA,Charlotte Hornets,Miles Bridges,17.0,4.0,1.0,6,16,37.5,2,7,28.6,3,4,75.0,43.8,47.9,31,0,0,43.8,43.8,47.9,47.9,17.0,17.0,28.6,28.6,,,,,,
2025-10-28,NY,New York Knicks,Mohamed Diawara,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,GS,Golden State Warriors,Moses Moody,9.0,3.0,2.0,3,9,33.3,3,7,42.9,0,0,0.0,50.0,50.0,22,0,0,50.0,50.0,50.0,50.0,9.0,9.0,42.9,42.9,,,,,,
2025-10-28,CHA,Charlotte Hornets,Moussa Diabate,8.0,2.0,0.0,3,4,75.0,0,0,0.0,2,2,100.0,75.0,82.0,19,0,0,75.0,75.0,82.0,82.0,8.0,8.0,0.0,0.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Myles Turner,5.0,8.0,3.0,1,6,16.7,1,5,20.0,2,2,100.0,25.0,36.3,30,0,0,25.0,25.0,36.3,36.3,5.0,5.0,20.0,20.0,,,,,,
2025-10-28,MIA,Miami Heat,Myron Gardner,3.0,1.0,1.0,1,1,100.0,1,1,100.0,0,0,0.0,150.0,150.0,3,0,0,150.0,150.0,150.0,150.0,3.0,3.0,100.0,100.0,,,,,,
2025-10-28,LAC,LA Clippers,Nicolas Batum,3.0,6.0,1.0,1,4,25.0,1,4,25.0,0,0,0.0,37.5,37.5,20,0,0,37.5,37.5,37.5,37.5,3.0,3.0,25.0,25.0,,,,,,
2025-10-28,MIA,Miami Heat,Nikola Jovic,10.0,6.0,2.0,4,7,57.1,2,4,50.0,0,0,0.0,71.4,71.4,22,0,0,71.4,71.4,71.4,71.4,10.0,10.0,50.0,50.0,,,,,,
2025-10-28,NY,New York Knicks,OG Anunoby,9.0,6.0,5.0,3,11,27.3,1,6,16.7,2,3,66.7,31.8,36.5,34,0,0,31.8,31.8,36.5,36.5,9.0,9.0,16.7,16.7,,,,,,
2025-10-28,GS,Golden State Warriors,Pat Spencer,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,MIA,Miami Heat,Pelle Larsson,17.0,5.0,3.0,6,10,60.0,3,6,50.0,2,2,100.0,75.0,78.1,31,0,0,75.0,75.0,78.1,78.1,17.0,17.0,50.0,50.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Quentin Grimes,23.0,7.0,3.0,7,17,41.2,3,10,30.0,6,6,100.0,50.0,58.6,39,0,0,50.0,50.0,58.6,58.6,23.0,23.0,30.0,30.0,,,,,,
2025-10-28,GS,Golden State Warriors,Quinten Post,12.0,8.0,0.0,4,9,44.4,4,7,57.1,0,0,0.0,66.7,66.7,25,0,1,66.7,66.7,66.7,66.7,12.0,12.0,57.1,57.1,,,,,,
2025-10-28,SAC,Sacramento Kings,Russell Westbrook,16.0,9.0,4.0,6,16,37.5,4,8,50.0,0,0,0.0,50.0,50.0,30,0,1,50.0,50.0,50.0,50.0,16.0,16.0,50.0,50.0,,,,,,
2025-10-28,CHA,Charlotte Hornets,Ryan Kalkbrenner,10.0,6.0,0.0,5,5,100.0,0,0,0.0,0,0,0.0,100.0,100.0,31,0,0,100.0,100.0,100.0,100.0,10.0,10.0,0.0,0.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Ryan Rollins,25.0,2.0,4.0,8,11,72.7,4,4,100.0,5,5,100.0,90.9,94.7,26,0,1,90.9,90.9,94.7,94.7,25.0,25.0,100.0,100.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Shai Gilgeous-Alexander,31.0,9.0,4.0,14,26,53.8,1,5,20.0,2,2,100.0,55.8,57.7,36,1,0,55.8,55.8,57.7,57.7,31.0,31.0,20.0,20.0,,,,,,
2025-10-28,MIA,Miami Heat,Simone Fontecchio,10.0,0.0,3.0,3,5,60.0,3,4,75.0,1,1,100.0,90.0,91.9,19,0,0,90.0,90.0,91.9,91.9,10.0,10.0,75.0,75.0,,,,,,
2025-10-28,CHA,Charlotte Hornets,Sion James,8.0,3.0,0.0,2,2,100.0,2,2,100.0,2,2,100.0,150.0,138.9,23,0,0,150.0,150.0,138.9,138.9,8.0,8.0,100.0,100.0,,,,,,
2025-10-28,GS,Golden State Warriors,Stephen Curry,19.0,2.0,8.0,7,15,46.7,2,8,25.0,3,3,100.0,53.3,58.2,26,0,0,53.3,53.3,58.2,58.2,19.0,19.0,25.0,25.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Taurean Prince,8.0,0.0,0.0,3,4,75.0,2,3,66.7,0,0,0.0,100.0,100.0,21,0,0,100.0,100.0,100.0,100.0,8.0,8.0,66.7,66.7,,,,,,
